============================================================
[0;32m   ____      __           __  ____                  __
  / ____/___/ /___ ____  / /_/ __ \____  ____  ____/ /
 / /   / __  / __ `/ _ \/ __/ /_/ / __ \/ __ \/ __  / 
/ /___/ /_/ / /_/ /  __/ /_/ ____/ /_/ / / / / /_/ /  
\____/\__,_/\__, /\___/\__/_/    \__,_/_/ /_/\__,_/   
            /____/                                     [0m
============================================================

============================================================
[0;34m[INFO][0m Running serial vs parallel comparison tests (algorithm: all)...
-- Configuring done (0.0s)
-- Generating done (0.0s)
-- Build files have been written to: /home/li/cpp-sort/benchmarks/sort-comparison/build
[100%] Built target bench-serial-parallel
============================================================
Serial vs Parallel Sorters Performance Benchmark
============================================================
Hardware concurrency: 32 threads
Warmup iterations: 3
Benchmark iterations: 10
Selected algorithms: all
SIMD: AVX-512 detected

====================================================================================================
Algorithm Pair               Serial (us)  Parallel (us)     Speedup     Pattern        Type      Size
simd                            51177.37       98654.74       0.52x      Random      double  10000000
simd                            23560.29       17017.20       1.38x      Sorted         int  10000000
simd                            24443.87       17851.10       1.37x      Sorted       float  10000000
simd                            51621.77       33421.27       1.54x      Sorted      double  10000000
simd                            24181.06       17269.20       1.40x     Reverse         int  10000000
simd                            24701.02       16989.67       1.45x     Reverse       float  10000000
simd                            52073.43       44744.42       1.16x     Reverse      double  10000000
simd                            26069.04       20697.98       1.26x  Nearly Sor         int  10000000
simd                            26369.06       24227.36       1.09x  Nearly Sor       float  10000000
simd                            56471.71       46210.12       1.22x  Nearly Sor      double  10000000
simd                            25255.69       19957.75       1.27x  Few Unique         int  10000000
simd                            24304.18       26865.83       0.90x  Few Unique       float  10000000
simd                            50213.24       48405.35       1.04x  Few Unique      double  10000000
tim                              4901.57        4856.19       1.01x      Random         int    100000
tim                              5622.25        5597.91       1.00x      Random       float    100000
tim                              5800.95        5834.95       0.99x      Random      double    100000
tim                                21.68          21.91       0.99x      Sorted         int    100000
tim                                24.53          23.67       1.04x      Sorted       float    100000
tim                                31.13          30.74       1.01x      Sorted      double    100000
tim                                23.71          23.73       1.00x     Reverse         int    100000
tim                                42.39          42.61       0.99x     Reverse       float    100000
tim                                50.03          37.33       1.34x     Reverse      double    100000
tim                              1028.87        1020.30       1.01x  Nearly Sor         int    100000
tim                              1132.64        1120.70       1.01x  Nearly Sor       float    100000
tim                              1221.27        1216.10       1.00x  Nearly Sor      double    100000
tim                              3948.31        3951.40       1.00x  Few Unique         int    100000
tim                              4664.27        4657.63       1.00x  Few Unique       float    100000
tim                              4798.89        4810.87       1.00x  Few Unique      double    100000
tim                             28102.13       28101.99       1.00x      Random         int    500000
tim                             32192.14       32168.14       1.00x      Random       float    500000
tim                             33093.23       32893.78       1.01x      Random      double    500000
tim                               115.74         116.08       1.00x      Sorted         int    500000
tim                               127.94         127.92       1.00x      Sorted       float    500000
tim                               152.50         152.60       1.00x      Sorted      double    500000
tim                               131.21         135.25       0.97x     Reverse         int    500000
tim                               227.53         226.65       1.00x     Reverse       float    500000
tim                               268.47         193.48       1.39x     Reverse      double    500000
tim                              5623.75        5643.09       1.00x  Nearly Sor         int    500000
tim                              6219.93        6215.10       1.00x  Nearly Sor       float    500000
tim                              6568.81        6565.61       1.00x  Nearly Sor      double    500000
tim                             22850.56       22835.00       1.00x  Few Unique         int    500000
tim                             26924.24       26846.19       1.00x  Few Unique       float    500000
tim                             28009.32       27997.15       1.00x  Few Unique      double    500000
tim                             58520.33       11188.14       5.23x      Random         int   1000000
tim                             67781.13       14159.02       4.79x      Random       float   1000000
tim                             70492.03       14454.78       4.88x      Random      double   1000000
tim                               279.30        1711.63       0.16x      Sorted         int   1000000
tim                               294.95        1895.26       0.16x      Sorted       float   1000000
tim                               339.90        2081.11       0.16x      Sorted      double   1000000
tim                               282.39        1752.35       0.16x     Reverse         int   1000000
tim                               480.73        1815.11       0.26x     Reverse       float   1000000
tim                               379.50        2466.08       0.15x     Reverse      double   1000000
tim                             11460.30        3447.47       3.32x  Nearly Sor         int   1000000
tim                             12590.38        3869.11       3.25x  Nearly Sor       float   1000000
tim                             13551.99        4292.94       3.16x  Nearly Sor      double   1000000
tim                             49184.52        6493.67       7.57x  Few Unique         int   1000000
tim                             57712.47        8298.52       6.95x  Few Unique       float   1000000
tim                             59672.94        8642.48       6.90x  Few Unique      double   1000000
tim                            327052.03       44974.24       7.27x      Random         int   5000000
tim                            378898.81       55084.60       6.88x      Random       float   5000000
tim                            387778.31       57875.93       6.70x      Random      double   5000000
tim                              1593.68        8933.13       0.18x      Sorted         int   5000000
tim                              1835.78        5488.17       0.33x      Sorted       float   5000000
tim                              2932.66       10525.23       0.28x      Sorted      double   5000000
tim                              1810.56        6312.40       0.29x     Reverse         int   5000000
tim                              2681.37       11013.32       0.24x     Reverse       float   5000000
tim                              4076.25       14377.70       0.28x     Reverse      double   5000000
tim                             61212.75       16616.24       3.68x  Nearly Sor         int   5000000
tim                             67279.60       13969.91       4.82x  Nearly Sor       float   5000000
tim                             75285.02       18535.71       4.06x  Nearly Sor      double   5000000
tim                            274461.84       23955.09      11.46x  Few Unique         int   5000000
tim                            324997.85       29681.48      10.95x  Few Unique       float   5000000
tim                            333933.04       32389.62      10.31x  Few Unique      double   5000000
tim                            682848.46       88675.34       7.70x      Random         int  10000000
tim                            781056.34      108659.21       7.19x      Random       float  10000000
tim                            812339.11      121796.73       6.67x      Random      double  10000000
tim                              3599.75       12096.96       0.30x      Sorted         int  10000000
tim                              3938.52       12146.76       0.32x      Sorted       float  10000000
tim                              6825.21       30907.59       0.22x      Sorted      double  10000000
tim                              4949.02       14678.68       0.34x     Reverse         int  10000000
tim                              6484.76       15302.57       0.42x     Reverse       float  10000000
tim                             10236.72       42707.76       0.24x     Reverse      double  10000000
tim                            125944.21       24965.57       5.04x  Nearly Sor         int  10000000
tim                            139242.11       29134.68       4.78x  Nearly Sor       float  10000000
tim                            158073.79       49215.67       3.21x  Nearly Sor      double  10000000
tim                            575943.03       44955.64      12.81x  Few Unique         int  10000000
tim                            679101.22       55378.60      12.26x  Few Unique       float  10000000
tim                            712727.46       71586.11       9.96x  Few Unique      double  10000000

============================================================
Benchmark complete
============================================================
[0;32m[SUCCESS][0m Serial vs parallel comparison tests complete
============================================================
[0;32m[SUCCESS][0m All tasks completed!
============================================================
