============================================================
[0;32m   ____      __           __  ____                  __
  / ____/___/ /___ ____  / /_/ __ \____  ____  ____/ /
 / /   / __  / __ `/ _ \/ __/ /_/ / __ \/ __ \/ __  / 
/ /___/ /_/ / /_/ /  __/ /_/ ____/ /_/ / / / / /_/ /  
\____/\__,_/\__, /\___/\__/_/    \__,_/_/ /_/\__,_/   
            /____/                                     [0m
============================================================

============================================================
[0;34m[INFO][0m Running serial vs parallel comparison tests (algorithm: all)...
-- Configuring done (0.0s)
-- Generating done (0.0s)
-- Build files have been written to: /home/li/cpp-sort/benchmarks/sort-comparison/build
[100%] Built target bench-serial-parallel
============================================================
Serial vs Parallel Sorters Performance Benchmark
============================================================
Hardware concurrency: 32 threads
Warmup iterations: 3
Benchmark iterations: 10
Selected algorithms: all
SIMD: AVX-512 detected

====================================================================================================
Algorithm Pair               Serial (us)  Parallel (us)     Speedup     Pattern        Type      Size
heap                            35558.06       35738.83       0.99x      Random       float    500000
heap                            37517.44       37526.27       1.00x      Random      double    500000
heap                            13949.34       13980.59       1.00x      Sorted         int    500000
heap                            15314.78       15348.65       1.00x      Sorted       float    500000
heap                            15377.63       15387.48       1.00x      Sorted      double    500000
heap                            15673.14       15691.48       1.00x     Reverse         int    500000
heap                            17398.67       17377.33       1.00x     Reverse       float    500000
heap                            17670.49       17331.95       1.02x     Reverse      double    500000
heap                            17057.52       17049.39       1.00x  Nearly Sor         int    500000
heap                            18388.07       18371.43       1.00x  Nearly Sor       float    500000
heap                            18906.84       18816.46       1.00x  Nearly Sor      double    500000
heap                            30427.08       30435.10       1.00x  Few Unique         int    500000
heap                            35223.41       35380.89       1.00x  Few Unique       float    500000
heap                            36830.14       36438.49       1.01x  Few Unique      double    500000
heap                            67663.84       11300.54       5.99x      Random         int   1000000
heap                            75647.25       14948.62       5.06x      Random       float   1000000
heap                            80934.17       15290.66       5.29x      Random      double   1000000
heap                            28490.35        4628.11       6.16x      Sorted         int   1000000
heap                            30705.38        5269.46       5.83x      Sorted       float   1000000
heap                            31005.20        5399.37       5.74x      Sorted      double   1000000
heap                            32546.65        4996.05       6.51x     Reverse         int   1000000
heap                            35361.67        5861.40       6.03x     Reverse       float   1000000
heap                            36198.31        5753.11       6.29x     Reverse      double   1000000
heap                            35152.96        6133.19       5.73x  Nearly Sor         int   1000000
heap                            38014.82        6936.39       5.48x  Nearly Sor       float   1000000
heap                            38939.00        7447.16       5.23x  Nearly Sor      double   1000000
heap                            65732.04        6780.26       9.69x  Few Unique         int   1000000
heap                            74426.42        8958.35       8.31x  Few Unique       float   1000000
heap                            79716.47        9425.55       8.46x  Few Unique      double   1000000
heap                           397166.37       53933.85       7.36x      Random         int   5000000
heap                           448359.05       55838.05       8.03x      Random       float   5000000
heap                           517721.47       60911.53       8.50x      Random      double   5000000
heap                           151176.27       15115.10      10.00x      Sorted         int   5000000
heap                           161475.00       16555.96       9.75x      Sorted       float   5000000
heap                           168275.79       20386.76       8.25x      Sorted      double   5000000
heap                           169306.93       14553.50      11.63x     Reverse         int   5000000
heap                           182194.09       16632.28      10.95x     Reverse       float   5000000
heap                           191209.89       21511.62       8.89x     Reverse      double   5000000
heap                           191469.88       20167.82       9.49x  Nearly Sor         int   5000000
heap                           205509.39       25053.08       8.20x  Nearly Sor       float   5000000
heap                           226849.79       28873.77       7.86x  Nearly Sor      double   5000000
heap                           392115.44       25197.50      15.56x  Few Unique         int   5000000
heap                           437696.83       32124.45      13.63x  Few Unique       float   5000000
heap                           510921.47       36135.04      14.14x  Few Unique      double   5000000
heap                           937968.87       91831.09      10.21x      Random         int  10000000
heap                          1027394.07      111501.20       9.21x      Random       float  10000000
heap                          1313468.74      125312.70      10.48x      Random      double  10000000
heap                           309376.04       26422.17      11.71x      Sorted         int  10000000
heap                           331557.09       30706.66      10.80x      Sorted       float  10000000
heap                           346232.45       46595.88       7.43x      Sorted      double  10000000
heap                           353102.60       29514.87      11.96x     Reverse         int  10000000
heap                           377794.42       33982.43      11.12x     Reverse       float  10000000
heap                           402007.48       54181.49       7.42x     Reverse      double  10000000
heap                           421061.26       37797.79      11.14x  Nearly Sor         int  10000000
heap                           445822.52       44924.30       9.92x  Nearly Sor       float  10000000
heap                           530819.88       63538.74       8.35x  Nearly Sor      double  10000000
heap                           916405.17       48299.93      18.97x  Few Unique         int  10000000
heap                          1011275.36       57682.37      17.53x  Few Unique       float  10000000
heap                          1289827.68       75491.32      17.09x  Few Unique      double  10000000
merge                            3910.45        4161.45       0.94x      Random         int    100000
merge                            4764.41        5095.00       0.94x      Random       float    100000
merge                            4706.10        5112.63       0.92x      Random      double    100000
merge                              82.57         257.04       0.32x      Sorted         int    100000
merge                              80.33         369.01       0.22x      Sorted       float    100000
merge                              83.75         319.14       0.26x      Sorted      double    100000
merge                             499.79         464.36       1.08x     Reverse         int    100000
merge                             663.01         463.45       1.43x     Reverse       float    100000
merge                             680.71         516.36       1.32x     Reverse      double    100000
merge                             811.82         842.73       0.96x  Nearly Sor         int    100000
merge                             995.74        1069.63       0.93x  Nearly Sor       float    100000
merge                             970.85        1013.65       0.96x  Nearly Sor      double    100000
merge                            2845.11        3109.69       0.91x  Few Unique         int    100000
merge                            3610.74        4014.44       0.90x  Few Unique       float    100000
merge                            3621.03        4099.82       0.88x  Few Unique      double    100000
merge                           22300.41       23885.52       0.93x      Random         int    500000
merge                           26699.27       29110.57       0.92x      Random       float    500000
merge                           26816.24       29299.49       0.92x      Random      double    500000
merge                             381.80        1547.22       0.25x      Sorted         int    500000
merge                             380.10        2981.20       0.13x      Sorted       float    500000
merge                             407.79        1985.88       0.21x      Sorted      double    500000
merge                            2904.13        2517.68       1.15x     Reverse         int    500000
merge                            3943.74        2609.38       1.51x     Reverse       float    500000
merge                            4280.65        3007.41       1.42x     Reverse      double    500000
merge                            4638.62        4827.33       0.96x  Nearly Sor         int    500000
merge                            5337.17        6111.42       0.87x  Nearly Sor       float    500000
merge                            5797.81        5818.34       1.00x  Nearly Sor      double    500000
merge                           17149.62       18938.69       0.91x  Few Unique         int    500000
merge                           21338.35       23833.21       0.90x  Few Unique       float    500000
merge                           21509.82       23958.45       0.90x  Few Unique      double    500000
merge                           47307.96       10222.92       4.63x      Random         int   1000000
merge                           56423.81       13434.14       4.20x      Random       float   1000000
merge                           56861.41       13503.97       4.21x      Random      double   1000000
merge                             909.68        2050.85       0.44x      Sorted         int   1000000
merge                             884.05        2179.17       0.41x      Sorted       float   1000000
merge                             957.54        2566.70       0.37x      Sorted      double   1000000
merge                            6148.71        2277.61       2.70x     Reverse         int   1000000
merge                            8069.92        2437.15       3.31x     Reverse       float   1000000
merge                            8447.47        2904.89       2.91x     Reverse      double   1000000
merge                            9755.48        3597.84       2.71x  Nearly Sor         int   1000000
merge                           11317.30        4063.55       2.79x  Nearly Sor       float   1000000
merge                           11696.17        4340.67       2.69x  Nearly Sor      double   1000000
merge                           36200.16        5637.75       6.42x  Few Unique         int   1000000
merge                           45803.72        7335.23       6.24x  Few Unique       float   1000000
merge                           46314.41        7901.75       5.86x  Few Unique      double   1000000
merge                          266698.32       43724.83       6.10x      Random         int   5000000
merge                          317843.51       54122.60       5.87x      Random       float   5000000
merge                          328435.52       57693.01       5.69x      Random      double   5000000
merge                            3641.43        6111.97       0.60x      Sorted         int   5000000
merge                            3682.95       11403.75       0.32x      Sorted       float   5000000
merge                            6628.73       13204.27       0.50x      Sorted      double   5000000
merge                           35232.64        8060.17       4.37x     Reverse         int   5000000
merge                           54336.40        8456.29       6.43x     Reverse       float   5000000
merge                           60024.34       16079.27       3.73x     Reverse      double   5000000
merge                           55898.48       13414.64       4.17x  Nearly Sor         int   5000000
merge                           67094.72       15300.84       4.39x  Nearly Sor       float   5000000
merge                           72335.71       20072.91       3.60x  Nearly Sor      double   5000000
merge                          211204.93       22906.03       9.22x  Few Unique         int   5000000
merge                          264065.09       28966.03       9.12x  Few Unique       float   5000000
merge                          274092.35       31346.86       8.74x  Few Unique      double   5000000
merge                          559396.34       84133.92       6.65x      Random         int  10000000
merge                          669182.82      103585.87       6.46x      Random       float  10000000
merge                          690916.73      117212.36       5.89x      Random      double  10000000
merge                            9029.88       17920.29       0.50x      Sorted         int  10000000
merge                            8908.57       18801.26       0.47x      Sorted       float  10000000
merge                           14776.49       35399.38       0.42x      Sorted      double  10000000
merge                           73872.94       18562.17       3.98x     Reverse         int  10000000
merge                          110183.96       18822.52       5.85x     Reverse       float  10000000
merge                          130745.17       45729.30       2.86x     Reverse      double  10000000
merge                          121988.65       30098.40       4.05x  Nearly Sor         int  10000000
merge                          146653.24       29463.35       4.98x  Nearly Sor       float  10000000
merge                          157393.35       49327.10       3.19x  Nearly Sor      double  10000000
merge                          453773.37       42542.58      10.67x  Few Unique         int  10000000
merge                          559506.26       52071.94      10.74x  Few Unique       float  10000000
merge                          582979.13       68078.91       8.56x  Few Unique      double  10000000
pdq                              1351.59        1372.53       0.98x      Random         int    100000
pdq                              1509.53        1500.64       1.01x      Random       float    100000
pdq                              1516.96        1522.76       1.00x      Random      double    100000
pdq                                39.23          39.38       1.00x      Sorted         int    100000
pdq                                40.69          40.41       1.01x      Sorted       float    100000
pdq                                48.06          48.43       0.99x      Sorted      double    100000
pdq                                79.25          79.60       1.00x     Reverse         int    100000
pdq                                82.62          82.46       1.00x     Reverse       float    100000
pdq                                90.37          90.97       0.99x     Reverse      double    100000
pdq                               665.69         677.43       0.98x  Nearly Sor         int    100000
pdq                               713.34         713.09       1.00x  Nearly Sor       float    100000
pdq                               727.99         722.48       1.01x  Nearly Sor      double    100000
pdq                               505.12         503.07       1.00x  Few Unique         int    100000
pdq                               584.72         587.58       1.00x  Few Unique       float    100000
pdq                               612.65         605.08       1.01x  Few Unique      double    100000
pdq                              7211.16        7254.95       0.99x      Random         int    500000
pdq                              8029.73        7977.44       1.01x      Random       float    500000
pdq                              8079.07        8101.92       1.00x      Random      double    500000
pdq                               206.76         209.74       0.99x      Sorted         int    500000
pdq                               218.22         218.86       1.00x      Sorted       float    500000
pdq                               248.89         248.79       1.00x      Sorted      double    500000
pdq                               413.31         413.11       1.00x     Reverse         int    500000
pdq                               428.47         426.73       1.00x     Reverse       float    500000
pdq                               467.14         496.85       0.94x     Reverse      double    500000
pdq                              3800.26        3793.80       1.00x  Nearly Sor         int    500000
pdq                              4104.55        4094.10       1.00x  Nearly Sor       float    500000
pdq                              4142.98        4148.64       1.00x  Nearly Sor      double    500000
pdq                              3289.24        3278.08       1.00x  Few Unique         int    500000
pdq                              3669.36        3664.57       1.00x  Few Unique       float    500000
pdq                              3696.95        3703.21       1.00x  Few Unique      double    500000
pdq                             14853.30        7618.72       1.95x      Random         int   1000000
pdq                             16608.14        9301.76       1.79x      Random       float   1000000
pdq                             16949.72        9626.26       1.76x      Random      double   1000000
pdq                               435.30        1653.44       0.26x      Sorted         int   1000000
pdq                               457.13        1780.18       0.26x      Sorted       float   1000000
pdq                               504.00        1945.48       0.26x      Sorted      double   1000000
pdq                               847.37        2003.73       0.42x     Reverse         int   1000000
pdq                               886.22        2082.85       0.43x     Reverse       float   1000000
pdq                               935.51        2385.24       0.39x     Reverse      double   1000000
pdq                              8020.98        2970.43       2.70x  Nearly Sor         int   1000000
pdq                              8663.03        3236.54       2.68x  Nearly Sor       float   1000000
pdq                              8700.05        3526.61       2.47x  Nearly Sor      double   1000000
pdq                              6829.67        6562.38       1.04x  Few Unique         int   1000000
pdq                              7541.49        8128.27       0.93x  Few Unique       float   1000000
pdq                              7954.90        8186.22       0.97x  Few Unique      double   1000000
pdq                             79833.86       31621.42       2.52x      Random         int   5000000
pdq                             89657.96       40073.83       2.24x      Random       float   5000000
pdq                             91306.96       42512.28       2.15x      Random      double   5000000
pdq                              2594.72        4888.36       0.53x      Sorted         int   5000000
pdq                              2568.23        4958.49       0.52x      Sorted       float   5000000
pdq                              4030.07        7089.14       0.57x      Sorted      double   5000000
pdq                              4571.37        5498.18       0.83x     Reverse         int   5000000
pdq                              4753.02        6642.77       0.72x     Reverse       float   5000000
pdq                              6714.10        9020.54       0.74x     Reverse      double   5000000
pdq                             43844.69       10139.58       4.32x  Nearly Sor         int   5000000
pdq                             47280.41       11971.83       3.95x  Nearly Sor       float   5000000
pdq                             49229.86       12679.69       3.88x  Nearly Sor      double   5000000
pdq                             39159.72       30055.18       1.30x  Few Unique         int   5000000
pdq                             43164.34       37906.84       1.14x  Few Unique       float   5000000
pdq                             46438.17       39880.38       1.16x  Few Unique      double   5000000
pdq                            164427.69       62990.11       2.61x      Random         int  10000000
pdq                            184242.45       83526.73       2.21x      Random       float  10000000
pdq                            188301.21       86633.68       2.17x      Random      double  10000000
pdq                              5838.36        8942.18       0.65x      Sorted         int  10000000
pdq                              5858.25        9358.15       0.63x      Sorted       float  10000000
pdq                              8865.52       13878.33       0.64x      Sorted      double  10000000
pdq                              9769.25       10281.83       0.95x     Reverse         int  10000000
pdq                             10197.39       12050.78       0.85x     Reverse       float  10000000
pdq                             14099.65       19062.45       0.74x     Reverse      double  10000000
pdq                             92441.38       17994.11       5.14x  Nearly Sor         int  10000000
pdq                             98583.25       21015.79       4.69x  Nearly Sor       float  10000000
pdq                            102916.28       24174.27       4.26x  Nearly Sor      double  10000000
pdq                             83105.23       60841.65       1.37x  Few Unique         int  10000000
pdq                             91909.20       78144.99       1.18x  Few Unique       float  10000000
pdq                             98125.79       78354.97       1.25x  Few Unique      double  10000000
quick                            4144.24        3611.49       1.15x      Random         int    100000
quick                            4609.16        4441.77       1.04x      Random       float    100000
quick                            4855.45        4394.50       1.10x      Random      double    100000
quick                             410.42         469.31       0.87x      Sorted         int    100000
quick                             466.09         457.94       1.02x      Sorted       float    100000
quick                             565.17         483.21       1.17x      Sorted      double    100000
quick                             472.51         310.47       1.52x     Reverse         int    100000
quick                             534.34         356.68       1.50x     Reverse       float    100000
quick                             631.41         381.64       1.65x     Reverse      double    100000
quick                             902.10         919.86       0.98x  Nearly Sor         int    100000
quick                            1036.92        1054.50       0.98x  Nearly Sor       float    100000
quick                            1148.26        1054.77       1.09x  Nearly Sor      double    100000
quick                            2285.98        2364.86       0.97x  Few Unique         int    100000
quick                            2894.75        3242.89       0.89x  Few Unique       float    100000
quick                            3054.29        3164.22       0.97x  Few Unique      double    100000
quick                           22450.75       20459.06       1.10x      Random         int    500000
quick                           26397.61       25707.29       1.03x      Random       float    500000
quick                           27717.18       24985.22       1.11x      Random      double    500000
quick                            2186.94        2654.59       0.82x      Sorted         int    500000
quick                            2521.42        2638.88       0.96x      Sorted       float    500000
quick                            2528.62        2693.91       0.94x      Sorted      double    500000
quick                            2553.64        1787.34       1.43x     Reverse         int    500000
quick                            2925.23        2184.06       1.34x     Reverse       float    500000
quick                            2915.63        2029.34       1.44x     Reverse      double    500000
quick                            5175.75        5214.72       0.99x  Nearly Sor         int    500000
quick                            5980.54        5917.96       1.01x  Nearly Sor       float    500000
quick                            6121.28        5924.84       1.03x  Nearly Sor      double    500000
quick                           14594.39       13750.81       1.06x  Few Unique         int    500000
quick                           18389.57       18953.36       0.97x  Few Unique       float    500000
quick                           18867.59       18782.01       1.00x  Few Unique      double    500000
quick                           46814.01        9889.12       4.73x      Random         int   1000000
quick                           55559.85       12854.46       4.32x      Random       float   1000000
quick                           56455.19       12497.02       4.52x      Random      double   1000000
quick                            5021.84        2110.16       2.38x      Sorted         int   1000000
quick                            5528.73        2190.83       2.52x      Sorted       float   1000000
quick                            5489.20        2590.70       2.12x      Sorted      double   1000000
quick                            5578.06        4946.53       1.13x     Reverse         int   1000000
quick                            6193.30        5895.58       1.05x     Reverse       float   1000000
quick                            6479.92        6269.89       1.03x     Reverse      double   1000000
quick                           11493.74        3110.42       3.70x  Nearly Sor         int   1000000
quick                           12648.32        3552.23       3.56x  Nearly Sor       float   1000000
quick                           13049.20        3771.22       3.46x  Nearly Sor      double   1000000
quick                           31957.98        8553.13       3.74x  Few Unique         int   1000000
quick                           39440.42       10771.40       3.66x  Few Unique       float   1000000
quick                           41005.49       11200.36       3.66x  Few Unique      double   1000000
quick                          266295.27       35185.23       7.57x      Random         int   5000000
quick                          314984.24       47618.95       6.61x      Random       float   5000000
quick                          325646.68       48587.24       6.70x      Random      double   5000000
quick                           27571.10        6114.96       4.51x      Sorted         int   5000000
quick                           29489.16        7177.88       4.11x      Sorted       float   5000000
quick                           32082.49        9640.95       3.33x      Sorted      double   5000000
quick                           30316.88       16067.98       1.89x     Reverse         int   5000000
quick                           40682.60       19284.32       2.11x     Reverse       float   5000000
quick                           35801.75       23017.19       1.56x     Reverse      double   5000000
quick                           61816.86       10561.09       5.85x  Nearly Sor         int   5000000
quick                           71409.21       12812.15       5.57x  Nearly Sor       float   5000000
quick                           79102.96       13995.90       5.65x  Nearly Sor      double   5000000
quick                          188335.86       33709.52       5.59x  Few Unique         int   5000000
quick                          231079.10       43740.47       5.28x  Few Unique       float   5000000
quick                          242623.27       46254.72       5.25x  Few Unique      double   5000000
quick                          566381.16       69205.32       8.18x      Random         int  10000000
quick                          661277.93       95723.90       6.91x      Random       float  10000000
quick                          674395.67      101783.13       6.63x      Random      double  10000000
quick                           56959.25       11484.89       4.96x      Sorted         int  10000000
quick                           64329.15       13202.43       4.87x      Sorted       float  10000000
quick                           67115.64       16929.09       3.96x      Sorted      double  10000000
quick                           65500.36       29150.18       2.25x     Reverse         int  10000000
quick                           73013.32       33952.51       2.15x     Reverse       float  10000000
quick                           76041.43       40778.84       1.86x     Reverse      double  10000000
quick                          130531.61       18336.67       7.12x  Nearly Sor         int  10000000
quick                          150261.21       22321.57       6.73x  Nearly Sor       float  10000000
quick                          155994.48       27745.46       5.62x  Nearly Sor      double  10000000
quick                          416169.08       65024.90       6.40x  Few Unique         int  10000000
quick                          488723.48       92014.04       5.31x  Few Unique       float  10000000
quick                          510474.34       85682.49       5.96x  Few Unique      double  10000000
simd                              139.69         150.00       0.93x      Random         int    100000
simd                              150.36         149.54       1.01x      Random       float    100000
simd                              270.77         268.84       1.01x      Random      double    100000
simd                              141.83         140.93       1.01x      Sorted         int    100000
simd                              148.10         147.84       1.00x      Sorted       float    100000
simd                              273.87         275.52       0.99x      Sorted      double    100000
simd                              136.99         136.58       1.00x     Reverse         int    100000
simd                              144.13         143.20       1.01x     Reverse       float    100000
simd                              268.64         267.49       1.00x     Reverse      double    100000
simd                              135.47         135.06       1.00x  Nearly Sor         int    100000
simd                              142.71         142.03       1.00x  Nearly Sor       float    100000
simd                              260.35         259.37       1.00x  Nearly Sor      double    100000
simd                              129.92         130.99       0.99x  Few Unique         int    100000
simd                              137.14         136.11       1.01x  Few Unique       float    100000
simd                              249.45         250.34       1.00x  Few Unique      double    100000
simd                              818.95         813.26       1.01x      Random         int    500000
simd                              852.87         850.93       1.00x      Random       float    500000
simd                             1610.41        1609.49       1.00x      Random      double    500000
simd                              771.70         772.64       1.00x      Sorted         int    500000
simd                              807.06         805.95       1.00x      Sorted       float    500000
simd                             1605.08        1601.96       1.00x      Sorted      double    500000
simd                              811.81         808.16       1.00x     Reverse         int    500000
simd                              845.20         841.80       1.00x     Reverse       float    500000
simd                             1629.97        1628.56       1.00x     Reverse      double    500000
simd                              893.89         883.90       1.01x  Nearly Sor         int    500000
simd                              925.92         923.38       1.00x  Nearly Sor       float    500000
simd                             1769.97        1769.13       1.00x  Nearly Sor      double    500000
simd                              794.95         795.13       1.00x  Few Unique         int    500000
simd                              858.85         842.69       1.02x  Few Unique       float    500000
simd                             1620.58        1600.83       1.01x  Few Unique      double    500000
simd                             1763.25        6505.12       0.27x      Random         int   1000000
simd                             1872.43        8132.79       0.23x      Random       float   1000000
simd                             3480.31        8593.54       0.40x      Random      double   1000000
simd                             1788.27        1921.35       0.93x      Sorted         int   1000000
simd                             1854.12        2000.88       0.93x      Sorted       float   1000000
simd                             3481.77        2738.67       1.27x      Sorted      double   1000000
simd                             1851.25        1935.41       0.96x     Reverse         int   1000000
simd                             1901.26        1984.79       0.96x     Reverse       float   1000000
simd                             3432.72        2675.21       1.28x     Reverse      double   1000000
simd                             1946.25        2569.84       0.76x  Nearly Sor         int   1000000
simd                             2040.44        3057.03       0.67x  Nearly Sor       float   1000000
simd                             3862.07        3671.56       1.05x  Nearly Sor      double   1000000
simd                             1765.11        2352.33       0.75x  Few Unique         int   1000000
simd                             1846.91        2930.48       0.63x  Few Unique       float   1000000
simd                             3485.98        3464.42       1.01x  Few Unique      double   1000000
simd                            10343.85       31148.14       0.33x      Random         int   5000000
simd                            10835.60       38498.31       0.28x      Random       float   5000000
simd                            22737.60       44294.78       0.51x      Random      double   5000000
simd                            10683.13        5393.51       1.98x      Sorted         int   5000000
simd                            11018.47        6767.13       1.63x      Sorted       float   5000000
simd                            22072.67       12759.05       1.73x      Sorted      double   5000000
simd                            10571.88        6612.72       1.60x     Reverse         int   5000000
simd                            10977.99       11065.02       0.99x     Reverse       float   5000000
simd                            22346.91       15790.74       1.42x     Reverse      double   5000000
simd                            11333.98       14046.25       0.81x  Nearly Sor         int   5000000
simd                            11739.36       11612.28       1.01x  Nearly Sor       float   5000000
simd                            24519.34       16673.33       1.47x  Nearly Sor      double   5000000
simd                            10226.99        9301.40       1.10x  Few Unique         int   5000000
simd                            10722.35       16695.82       0.64x  Few Unique       float   5000000
simd                            22205.32       17653.18       1.26x  Few Unique      double   5000000
simd                            24911.18       63619.59       0.39x      Random         int  10000000
simd                            24629.68       83184.00       0.30x      Random       float  10000000
